Tehsil,Class,Pixel_Count,Pct (%),Min,Max,Mean
TOPI,Other,1979,100.0,8.0,17.0,11.2309
BABUZAI,Other,1373,100.0,8.0,13.0,10.2054
BAHRAIN,Other,8397,100.0,8.0,16.0,14.3204
BARIKOT,Other,1651,100.0,8.0,13.0,9.9879
CHARBAGH,Other,605,100.0,8.0,13.0,10.3521
KABAL,Other,1901,100.0,6.0,13.0,10.7486
KHAWAZA KHELA,Other,1081,100.0,8.0,13.0,10.7077
MATTA,Other,2590,100.0,8.0,13.0,10.8525
TANK,Other,8015,100.0,7.0,16.0,8.3198
TORGHER,Other,1905,100.0,8.0,17.0,9.3769
DIR,Other,4064,100.0,8.0,12.0,9.142
SHARINGAL,Other,4113,100.0,8.0,16.0,11.0613
WARI,Other,1718,100.0,7.0,12.0,9.1246
Peshawar I,Other,139,100.0,13.0,13.0,13.0
Peshawar II,Other,2251,100.0,7.0,13.0,12.2728
Peshawar III,Other,857,100.0,9.0,16.0,12.6628
Peshawar IV,Other,3039,100.0,7.0,13.0,10.4294
Peshawar Cantonment,Other,85,100.0,13.0,13.0,13.0
BAR CHAMARKAND,Forest,0,,,,
BARANG,Forest,1,100.0,4.0,4.0,4.0
KHAR,Forest,0,,,,
MAMUND,Forest,1,100.0,1.0,1.0,1.0
NAWAGAI,Forest,0,,,,
SALARZAI,Forest,16,100.0,1.0,1.0,1.0
UTMAN KHEL,Forest,15,100.0,1.0,4.0,1.2
FR BANNU,Forest,0,,,,
FR D.I.KHAN,Forest,0,,,,
FR KOHAT,Forest,1,100.0,1.0,1.0,1.0
FR LAKKI,Forest,0,,,,
FR PESHAWAR,Forest,5,100.0,1.0,1.0,1.0
FR TANK,Forest,0,,,,
BARA,Forest,728,100.0,1.0,5.0,2.0069
JAMRUD,Forest,0,,,,
LANDI KOTAL,Forest,0,,,,
CENTRAL KURRAM,Forest,105,100.0,1.0,5.0,2.3714
LOWER KURRAM,Forest,0,,,,
UPPER KURRAM,Forest,12,100.0,1.0,1.0,1.0
AMBAR UTMAN KHEL,Forest,2,100.0,1.0,1.0,1.0
HALIMZAI,Forest,0,,,,
PINDIALI,Forest,0,,,,
PRANG GHAR,Forest,0,,,,
SAFI,Forest,0,,,,
UPPER MOMAND,Forest,30,100.0,1.0,1.0,1.0
YAKA GHUND,Forest,0,,,,
DATA KHEL,Forest,0,,,,
DOSSALI,Forest,0,,,,
GARYUM,Forest,0,,,,
GHULAM KHAN,Forest,0,,,,
MIR ALI,Forest,0,,,,
MIRAN SHAH,Forest,0,,,,
RAZMAK,Forest,5,100.0,1.0,1.0,1.0
SHEWA,Forest,0,,,,
SPINWAM,Forest,0,,,,
CENTRAL ORAKZAI,Forest,25,100.0,1.0,5.0,2.6
ISMAILZAI,Forest,65,100.0,1.0,5.0,1.0615
LOWER ORAKZAI,Forest,91,100.0,1.0,5.0,2.5824
UPPER ORAKZAI,Forest,77,100.0,1.0,5.0,2.5455
BIRMAL,Forest,0,,,,
LADHA,Forest,53,100.0,1.0,1.0,1.0
MAKIN,Forest,28,100.0,1.0,1.0,1.0
SARAOGHA,Forest,0,,,,
SERWEKAI,Forest,0,,,,
TIARZA,Forest,45,100.0,1.0,1.0,1.0
TOI KHULLA,Forest,0,,,,
WANA,Forest,0,,,,
ABBOTTABAD,Forest,892,100.0,1.0,5.0,3.1323
HAVELIAN,Forest,5,100.0,1.0,1.0,1.0
BANNU,Forest,0,,,,
DOMEL,Forest,0,,,,
ALAI,Forest,135,100.0,1.0,5.0,3.9037
BATAGRAM,Forest,140,100.0,1.0,5.0,4.4286
DAGGAR,Forest,44,100.0,1.0,5.0,2.9091
GAGRA,Forest,52,100.0,1.0,5.0,2.5385
KHADO KHEL,Forest,94,100.0,1.0,5.0,2.0213
CHARSADDA,Forest,0,,,,
SHABQADAR,Forest,0,,,,
TANGI,Forest,0,,,,
CHITRAL,Forest,29,100.0,1.0,1.0,1.0
MASTUJ,Forest,0,,,,
D.I.KHAN,Forest,0,,,,
DARABAN,Forest,0,,,,
KULACHI,Forest,0,,,,
PAHARPUR,Forest,0,,,,
PAROA,Forest,0,,,,
HANGU,Forest,0,,,,
TALL,Forest,0,,,,
GHAZI,Forest,12,100.0,1.0,5.0,1.9167
HARIPUR,Forest,136,100.0,1.0,2.0,1.0221
BANDA DAUD SHAH,Forest,0,,,,
KARAK,Forest,0,,,,
TAKHT E NASRATI,Forest,0,,,,
KOHAT,Forest,0,,,,
LACHI,Forest,4,100.0,1.0,1.0,1.0
DASSU,Forest,173,100.0,1.0,5.0,1.0231
KANDIA,Forest,21,100.0,1.0,1.0,1.0
PALAS,Forest,499,100.0,1.0,5.0,2.6533
PATTAN,Forest,20,100.0,1.0,5.0,1.65
LAKKI MARWAT,Forest,0,,,,
NAURANG,Forest,0,,,,
ADENZAI,Forest,6,100.0,1.0,1.0,1.0
LALQILLA,Forest,4,100.0,1.0,5.0,3.5
MUNDA,Forest,0,,,,
SAMARBAGH(BARWA),Forest,7,100.0,1.0,1.0,1.0
TEMERGARA,Forest,75,100.0,1.0,5.0,1.88
SAM RANIZAI,Forest,0,,,,
SWAT RANIZAI,Forest,10,100.0,1.0,1.0,1.0
BALAKOT,Forest,804,100.0,1.0,5.0,3.7761
MANSEHRA,Forest,431,100.0,1.0,5.0,2.9397
OGHI,Forest,116,100.0,1.0,5.0,1.8448
KATLANG,Forest,0,,,,
MARDAN,Forest,10,100.0,1.0,5.0,1.4
TAKHT BHAI,Forest,0,,,,
NOWSHERA,Forest,4,100.0,1.0,1.0,1.0
PABBI,Forest,7,100.0,1.0,1.0,1.0
ALPURI,Forest,226,100.0,1.0,5.0,4.3938
BISHAM,Forest,21,100.0,1.0,5.0,4.619
CHIKSAR,Forest,57,100.0,1.0,5.0,4.9298
MARTUNG,Forest,14,100.0,1.0,5.0,4.4286
PURAN,Forest,65,100.0,1.0,5.0,4.8154
LAHOR,Forest,0,,,,
RAZAR,Forest,0,,,,
SWABI,Forest,0,,,,
TOPI,Forest,22,100.0,1.0,5.0,2.2727
BABUZAI,Forest,23,100.0,5.0,5.0,5.0
BAHRAIN,Forest,421,100.0,1.0,5.0,1.1876
BARIKOT,Forest,7,100.0,1.0,5.0,1.5714
CHARBAGH,Forest,11,100.0,5.0,5.0,5.0
KABAL,Forest,15,100.0,1.0,5.0,3.6667
KHAWAZA KHELA,Forest,72,100.0,1.0,5.0,2.4028
MATTA,Forest,40,100.0,1.0,5.0,2.325
TANK,Forest,0,,,,
TORGHER,Forest,197,100.0,1.0,5.0,3.1218
DIR,Forest,246,100.0,1.0,5.0,1.5528
SHARINGAL,Forest,562,100.0,1.0,5.0,1.0356
WARI,Forest,154,100.0,1.0,5.0,2.4091
Peshawar I,Forest,0,,,,
Peshawar II,Forest,0,,,,
Peshawar III,Forest,0,,,,
Peshawar IV,Forest,0,,,,
Peshawar Cantonment,Forest,0,,,,
BAR CHAMARKAND,Grasslands,34,100.0,10.0,10.0,10.0
BARANG,Grasslands,563,100.0,10.0,10.0,10.0
KHAR,Grasslands,515,100.0,10.0,10.0,10.0
MAMUND,Grasslands,622,100.0,10.0,10.0,10.0
NAWAGAI,Grasslands,416,100.0,10.0,10.0,10.0
SALARZAI,Grasslands,351,100.0,10.0,10.0,10.0
UTMAN KHEL,Grasslands,290,100.0,10.0,10.0,10.0
FR BANNU,Grasslands,391,100.0,10.0,10.0,10.0
FR D.I.KHAN,Grasslands,1891,100.0,10.0,10.0,10.0
FR KOHAT,Grasslands,1599,100.0,10.0,10.0,10.0
FR LAKKI,Grasslands,83,100.0,10.0,10.0,10.0
FR PESHAWAR,Grasslands,790,100.0,10.0,10.0,10.0
FR TANK,Grasslands,438,100.0,10.0,10.0,10.0
BARA,Grasslands,2956,100.0,10.0,10.0,10.0
JAMRUD,Grasslands,895,100.0,10.0,10.0,10.0
LANDI KOTAL,Grasslands,1932,100.0,10.0,10.0,10.0
CENTRAL KURRAM,Grasslands,4399,100.0,10.0,10.0,10.0
LOWER KURRAM,Grasslands,2730,100.0,10.0,10.0,10.0
UPPER KURRAM,Grasslands,3604,100.0,10.0,10.0,10.0
AMBAR UTMAN KHEL,Grasslands,663,100.0,10.0,10.0,10.0
HALIMZAI,Grasslands,521,100.0,10.0,10.0,10.0
PINDIALI,Grasslands,1102,100.0,10.0,10.0,10.0
PRANG GHAR,Grasslands,665,100.0,10.0,10.0,10.0
SAFI,Grasslands,954,100.0,10.0,10.0,10.0
UPPER MOMAND,Grasslands,642,100.0,10.0,10.0,10.0
YAKA GHUND,Grasslands,637,100.0,10.0,10.0,10.0
DATA KHEL,Grasslands,4777,100.0,10.0,10.0,10.0
DOSSALI,Grasslands,146,100.0,10.0,10.0,10.0
GARYUM,Grasslands,197,100.0,10.0,10.0,10.0
GHULAM KHAN,Grasslands,113,100.0,10.0,10.0,10.0
MIR ALI,Grasslands,912,100.0,10.0,10.0,10.0
MIRAN SHAH,Grasslands,425,100.0,10.0,10.0,10.0
RAZMAK,Grasslands,674,100.0,10.0,10.0,10.0
SHEWA,Grasslands,620,100.0,10.0,10.0,10.0
SPINWAM,Grasslands,454,100.0,10.0,10.0,10.0
CENTRAL ORAKZAI,Grasslands,896,100.0,10.0,10.0,10.0
ISMAILZAI,Grasslands,688,100.0,10.0,10.0,10.0
LOWER ORAKZAI,Grasslands,1434,100.0,10.0,10.0,10.0
UPPER ORAKZAI,Grasslands,1011,100.0,10.0,10.0,10.0
BIRMAL,Grasslands,1593,100.0,10.0,10.0,10.0
LADHA,Grasslands,797,100.0,10.0,10.0,10.0
MAKIN,Grasslands,548,100.0,10.0,10.0,10.0
SARAOGHA,Grasslands,711,100.0,10.0,10.0,10.0
SERWEKAI,Grasslands,281,100.0,10.0,10.0,10.0
TIARZA,Grasslands,1453,100.0,10.0,10.0,10.0
TOI KHULLA,Grasslands,40,100.0,10.0,10.0,10.0
WANA,Grasslands,1638,100.0,10.0,10.0,10.0
ABBOTTABAD,Grasslands,203,100.0,10.0,10.0,10.0
HAVELIAN,Grasslands,196,100.0,10.0,10.0,10.0
BANNU,Grasslands,454,100.0,10.0,10.0,10.0
DOMEL,Grasslands,409,100.0,10.0,10.0,10.0
ALAI,Grasslands,2372,100.0,10.0,10.0,10.0
BATAGRAM,Grasslands,264,100.0,10.0,10.0,10.0
DAGGAR,Grasslands,537,100.0,10.0,10.0,10.0
GAGRA,Grasslands,213,100.0,10.0,10.0,10.0
KHADO KHEL,Grasslands,316,100.0,10.0,10.0,10.0
CHARSADDA,Grasslands,89,100.0,10.0,10.0,10.0
SHABQADAR,Grasslands,68,100.0,10.0,10.0,10.0
TANGI,Grasslands,98,100.0,10.0,10.0,10.0
CHITRAL,Grasslands,10960,100.0,10.0,10.0,10.0
MASTUJ,Grasslands,5382,100.0,10.0,10.0,10.0
D.I.KHAN,Grasslands,627,100.0,10.0,10.0,10.0
DARABAN,Grasslands,414,100.0,10.0,10.0,10.0
KULACHI,Grasslands,1715,100.0,10.0,10.0,10.0
PAHARPUR,Grasslands,1352,100.0,10.0,10.0,10.0
PAROA,Grasslands,806,100.0,10.0,10.0,10.0
HANGU,Grasslands,1954,100.0,10.0,10.0,10.0
TALL,Grasslands,2139,100.0,10.0,10.0,10.0
GHAZI,Grasslands,707,100.0,10.0,10.0,10.0
HARIPUR,Grasslands,1259,100.0,10.0,10.0,10.0
BANDA DAUD SHAH,Grasslands,3956,100.0,10.0,10.0,10.0
KARAK,Grasslands,3270,100.0,10.0,10.0,10.0
TAKHT E NASRATI,Grasslands,1879,100.0,10.0,10.0,10.0
KOHAT,Grasslands,5579,100.0,10.0,10.0,10.0
LACHI,Grasslands,5446,100.0,10.0,10.0,10.0
DASSU,Grasslands,12227,100.0,10.0,10.0,10.0
KANDIA,Grasslands,6742,100.0,10.0,10.0,10.0
PALAS,Grasslands,3161,100.0,10.0,10.0,10.0
PATTAN,Grasslands,1853,100.0,10.0,10.0,10.0
LAKKI MARWAT,Grasslands,2408,100.0,10.0,10.0,10.0
NAURANG,Grasslands,671,100.0,10.0,10.0,10.0
ADENZAI,Grasslands,392,100.0,10.0,10.0,10.0
LALQILLA,Grasslands,135,100.0,10.0,10.0,10.0
MUNDA,Grasslands,212,100.0,10.0,10.0,10.0
SAMARBAGH(BARWA),Grasslands,425,100.0,10.0,10.0,10.0
TEMERGARA,Grasslands,887,100.0,10.0,10.0,10.0
SAM RANIZAI,Grasslands,104,100.0,10.0,10.0,10.0
SWAT RANIZAI,Grasslands,709,100.0,10.0,10.0,10.0
BALAKOT,Grasslands,8987,100.0,10.0,10.0,10.0
MANSEHRA,Grasslands,836,100.0,10.0,10.0,10.0
OGHI,Grasslands,119,100.0,10.0,10.0,10.0
KATLANG,Grasslands,88,100.0,10.0,10.0,10.0
MARDAN,Grasslands,130,100.0,10.0,10.0,10.0
TAKHT BHAI,Grasslands,4,100.0,10.0,10.0,10.0
NOWSHERA,Grasslands,3249,100.0,10.0,10.0,10.0
PABBI,Grasslands,815,100.0,10.0,10.0,10.0
ALPURI,Grasslands,607,100.0,10.0,10.0,10.0
BISHAM,Grasslands,85,100.0,10.0,10.0,10.0
CHIKSAR,Grasslands,21,100.0,10.0,10.0,10.0
MARTUNG,Grasslands,38,100.0,10.0,10.0,10.0
PURAN,Grasslands,15,100.0,10.0,10.0,10.0
LAHOR,Grasslands,334,100.0,10.0,10.0,10.0
RAZAR,Grasslands,35,100.0,10.0,10.0,10.0
SWABI,Grasslands,45,100.0,10.0,10.0,10.0
TOPI,Grasslands,367,100.0,10.0,10.0,10.0
BABUZAI,Grasslands,173,100.0,10.0,10.0,10.0
BAHRAIN,Grasslands,9393,100.0,10.0,10.0,10.0
BARIKOT,Grasslands,322,100.0,10.0,10.0,10.0
CHARBAGH,Grasslands,64,100.0,10.0,10.0,10.0
KABAL,Grasslands,266,100.0,10.0,10.0,10.0
KHAWAZA KHELA,Grasslands,100,100.0,10.0,10.0,10.0
MATTA,Grasslands,722,100.0,10.0,10.0,10.0
TANK,Grasslands,1210,100.0,10.0,10.0,10.0
TORGHER,Grasslands,479,100.0,10.0,10.0,10.0
DIR,Grasslands,2089,100.0,10.0,10.0,10.0
SHARINGAL,Grasslands,6604,100.0,10.0,10.0,10.0
WARI,Grasslands,894,100.0,10.0,10.0,10.0
Peshawar I,Grasslands,0,,,,
Peshawar II,Grasslands,74,100.0,10.0,10.0,10.0
Peshawar III,Grasslands,50,100.0,10.0,10.0,10.0
Peshawar IV,Grasslands,561,100.0,10.0,10.0,10.0
Peshawar Cantonment,Grasslands,0,,,,
BAR CHAMARKAND,Croplands,0,,,,
BARANG,Croplands,0,,,,
KHAR,Croplands,0,,,,
MAMUND,Croplands,2,100.0,14.0,14.0,14.0
NAWAGAI,Croplands,0,,,,
SALARZAI,Croplands,0,,,,
UTMAN KHEL,Croplands,0,,,,
FR BANNU,Croplands,0,,,,
FR D.I.KHAN,Croplands,0,,,,
FR KOHAT,Croplands,0,,,,
FR LAKKI,Croplands,0,,,,
FR PESHAWAR,Croplands,0,,,,
FR TANK,Croplands,0,,,,
BARA,Croplands,5,100.0,14.0,14.0,14.0
JAMRUD,Croplands,0,,,,
LANDI KOTAL,Croplands,0,,,,
CENTRAL KURRAM,Croplands,0,,,,
LOWER KURRAM,Croplands,0,,,,
UPPER KURRAM,Croplands,0,,,,
AMBAR UTMAN KHEL,Croplands,0,,,,
HALIMZAI,Croplands,0,,,,
PINDIALI,Croplands,0,,,,
PRANG GHAR,Croplands,0,,,,
SAFI,Croplands,0,,,,
UPPER MOMAND,Croplands,0,,,,
YAKA GHUND,Croplands,0,,,,
DATA KHEL,Croplands,0,,,,
DOSSALI,Croplands,0,,,,
GARYUM,Croplands,0,,,,
GHULAM KHAN,Croplands,0,,,,
