Tehsil,Other_pixel_count,Other_total_pixels,Other_pct (%),Other_min,Other_max,Other_mean,Forest_pixel_count,Forest_total_pixels,Forest_pct (%),Forest_min,Forest_max,Forest_mean,Grasslands_pixel_count,Grasslands_total_pixels,Grasslands_pct (%),Grasslands_min,Grasslands_max,Grasslands_mean,Croplands_pixel_count,Croplands_total_pixels,Croplands_pct (%),Croplands_min,Croplands_max,Croplands_mean
LADHA,1505,1505,100.0,7.0,13.0,7.7801,53,53,100.0,1.0,1.0,1.0,797,797,100.0,10.0,10.0,10.0,0,0,,,,
MAKIN,1472,1472,100.0,7.0,11.0,8.6298,28,28,100.0,1.0,1.0,1.0,548,548,100.0,10.0,10.0,10.0,0,0,,,,
SARAOGHA,3492,3492,100.0,7.0,16.0,7.3883,0,0,,,,,711,711,100.0,10.0,10.0,10.0,0,0,,,,
SERWEKAI,1700,1700,100.0,7.0,16.0,8.3494,0,0,,,,,281,281,100.0,10.0,10.0,10.0,0,0,,,,
TIARZA,2286,2286,100.0,6.0,16.0,8.2209,45,45,100.0,1.0,1.0,1.0,1453,1453,100.0,10.0,10.0,10.0,0,0,,,,
TOI KHULLA,2840,2840,100.0,7.0,16.0,15.3662,0,0,,,,,40,40,100.0,10.0,10.0,10.0,0,0,,,,
WANA,10665,10665,100.0,7.0,17.0,12.4641,0,0,,,,,1638,1638,100.0,10.0,10.0,10.0,0,0,,,,
ABBOTTABAD,5615,5615,100.0,8.0,13.0,9.3863,892,892,100.0,1.0,5.0,3.1323,203,203,100.0,10.0,10.0,10.0,896,896,100.0,14.0,14.0,14.0
HAVELIAN,1571,1571,100.0,8.0,13.0,10.4806,5,5,100.0,1.0,1.0,1.0,196,196,100.0,10.0,10.0,10.0,508,508,100.0,14.0,14.0,14.0
BANNU,3966,3966,100.0,7.0,16.0,10.5837,0,0,,,,,454,454,100.0,10.0,10.0,10.0,0,0,,,,
DOMEL,1737,1737,100.0,7.0,16.0,7.9447,0,0,,,,,409,409,100.0,10.0,10.0,10.0,0,0,,,,
ALAI,1993,1993,100.0,8.0,16.0,10.2735,135,135,100.0,1.0,5.0,3.9037,2372,2372,100.0,10.0,10.0,10.0,145,145,100.0,14.0,14.0,14.0
BATAGRAM,1932,1932,100.0,8.0,13.0,10.1113,140,140,100.0,1.0,5.0,4.4286,264,264,100.0,10.0,10.0,10.0,701,701,100.0,14.0,14.0,14.0
DAGGAR,3034,3034,100.0,8.0,13.0,10.324,44,44,100.0,1.0,5.0,2.9091,537,537,100.0,10.0,10.0,10.0,99,99,100.0,14.0,14.0,14.0
GAGRA,2055,2055,100.0,8.0,13.0,10.0,52,52,100.0,1.0,5.0,2.5385,213,213,100.0,10.0,10.0,10.0,344,344,100.0,14.0,14.0,14.0
KHADO KHEL,2837,2837,100.0,8.0,13.0,10.987,94,94,100.0,1.0,5.0,2.0213,316,316,100.0,10.0,10.0,10.0,184,184,100.0,14.0,14.0,14.0
CHARSADDA,2384,2384,100.0,9.0,13.0,11.7429,0,0,,,,,89,89,100.0,10.0,10.0,10.0,83,83,100.0,14.0,14.0,14.0
SHABQADAR,1018,1018,100.0,7.0,13.0,11.5255,0,0,,,,,68,68,100.0,10.0,10.0,10.0,5,5,100.0,14.0,14.0,14.0
TANGI,1611,1611,100.0,7.0,13.0,11.1775,0,0,,,,,98,98,100.0,10.0,10.0,10.0,232,232,100.0,14.0,14.0,14.0
CHITRAL,22983,22983,100.0,6.0,17.0,14.7773,29,29,100.0,1.0,1.0,1.0,10960,10960,100.0,10.0,10.0,10.0,0,0,,,,
MASTUJ,45841,45841,100.0,9.0,17.0,15.7973,0,0,,,,,5382,5382,100.0,10.0,10.0,10.0,0,0,,,,
D.I.KHAN,6099,6099,100.0,7.0,16.0,10.0828,0,0,,,,,627,627,100.0,10.0,10.0,10.0,1,1,100.0,14.0,14.0,14.0
DARABAN,7543,7543,100.0,7.0,16.0,7.2663,0,0,,,,,414,414,100.0,10.0,10.0,10.0,0,0,,,,
KULACHI,4022,4022,100.0,7.0,16.0,7.4567,0,0,,,,,1715,1715,100.0,10.0,10.0,10.0,0,0,,,,
PAHARPUR,9606,9606,100.0,7.0,17.0,8.7719,0,0,,,,,1352,1352,100.0,10.0,10.0,10.0,1,1,100.0,14.0,14.0,14.0
PAROA,8343,8343,100.0,7.0,16.0,10.519,0,0,,,,,806,806,100.0,10.0,10.0,10.0,7,7,100.0,14.0,14.0,14.0
HANGU,1744,1744,100.0,6.0,13.0,8.8308,0,0,,,,,1954,1954,100.0,10.0,10.0,10.0,0,0,,,,
TALL,1870,1870,100.0,7.0,13.0,8.0551,0,0,,,,,2139,2139,100.0,10.0,10.0,10.0,0,0,,,,
GHAZI,2509,2509,100.0,8.0,17.0,11.7405,12,12,100.0,1.0,5.0,1.9167,707,707,100.0,10.0,10.0,10.0,82,82,100.0,14.0,14.0,14.0
HARIPUR,5605,5605,100.0,8.0,17.0,10.8096,136,136,100.0,1.0,2.0,1.0221,1259,1259,100.0,10.0,10.0,10.0,520,520,100.0,14.0,14.0,14.0
BANDA DAUD SHAH,2160,2160,100.0,7.0,16.0,7.481,0,0,,,,,3956,3956,100.0,10.0,10.0,10.0,0,0,,,,
KARAK,2222,2222,100.0,7.0,16.0,7.937,0,0,,,,,3270,3270,100.0,10.0,10.0,10.0,0,0,,,,
TAKHT E NASRATI,1290,1290,100.0,7.0,16.0,7.2868,0,0,,,,,1879,1879,100.0,10.0,10.0,10.0,0,0,,,,
KOHAT,4153,4153,100.0,6.0,17.0,9.4881,0,0,,,,,5579,5579,100.0,10.0,10.0,10.0,0,0,,,,
LACHI,1438,1438,100.0,7.0,16.0,8.525,4,4,100.0,1.0,1.0,1.0,5446,5446,100.0,10.0,10.0,10.0,0,0,,,,
DASSU,7663,7663,100.0,6.0,16.0,12.247,173,173,100.0,1.0,5.0,1.0231,12227,12227,100.0,10.0,10.0,10.0,0,0,,,,
KANDIA,5208,5208,100.0,6.0,16.0,15.438,21,21,100.0,1.0,1.0,1.0,6742,6742,100.0,10.0,10.0,10.0,0,0,,,,
PALAS,4362,4362,100.0,7.0,16.0,9.7114,499,499,100.0,1.0,5.0,2.6533,3161,3161,100.0,10.0,10.0,10.0,2,2,100.0,14.0,14.0,14.0
PATTAN,1794,1794,100.0,8.0,16.0,14.0624,20,20,100.0,1.0,5.0,1.65,1853,1853,100.0,10.0,10.0,10.0,0,0,,,,
LAKKI MARWAT,11886,11886,100.0,7.0,16.0,7.4301,0,0,,,,,2408,2408,100.0,10.0,10.0,10.0,0,0,,,,
NAURANG,2655,2655,100.0,7.0,16.0,9.7853,0,0,,,,,671,671,100.0,10.0,10.0,10.0,0,0,,,,
ADENZAI,1796,1796,100.0,6.0,13.0,10.2968,6,6,100.0,1.0,1.0,1.0,392,392,100.0,10.0,10.0,10.0,6,6,100.0,14.0,14.0,14.0
LALQILLA,1008,1008,100.0,8.0,12.0,11.2629,4,4,100.0,1.0,5.0,3.5,135,135,100.0,10.0,10.0,10.0,53,53,100.0,14.0,14.0,14.0
MUNDA,1080,1080,100.0,6.0,13.0,9.8269,0,0,,,,,212,212,100.0,10.0,10.0,10.0,0,0,,,,
SAMARBAGH(BARWA),1160,1160,100.0,8.0,13.0,10.9853,7,7,100.0,1.0,1.0,1.0,425,425,100.0,10.0,10.0,10.0,24,24,100.0,14.0,14.0,14.0
TEMERGARA,2714,2714,100.0,6.0,13.0,9.3806,75,75,100.0,1.0,5.0,1.88,887,887,100.0,10.0,10.0,10.0,8,8,100.0,14.0,14.0,14.0
SAM RANIZAI,1368,1368,100.0,7.0,13.0,10.6177,0,0,,,,,104,104,100.0,10.0,10.0,10.0,61,61,100.0,14.0,14.0,14.0
SWAT RANIZAI,3106,3106,100.0,6.0,13.0,9.492,10,10,100.0,1.0,1.0,1.0,709,709,100.0,10.0,10.0,10.0,0,0,,,,
BALAKOT,4015,4015,100.0,8.0,16.0,11.4501,804,804,100.0,1.0,5.0,3.7761,8987,8987,100.0,10.0,10.0,10.0,11,11,100.0,14.0,14.0,14.0
MANSEHRA,5320,5320,100.0,8.0,16.0,10.1778,431,431,100.0,1.0,5.0,2.9397,836,836,100.0,10.0,10.0,10.0,1171,1171,100.0,14.0,14.0,14.0
OGHI,1877,1877,100.0,8.0,16.0,9.9659,116,116,100.0,1.0,5.0,1.8448,119,119,100.0,10.0,10.0,10.0,598,598,100.0,14.0,14.0,14.0
KATLANG,1569,1569,100.0,9.0,13.0,10.9643,0,0,,,,,88,88,100.0,10.0,10.0,10.0,42,42,100.0,14.0,14.0,14.0
MARDAN,4963,4963,100.0,8.0,13.0,11.619,10,10,100.0,1.0,5.0,1.4,130,130,100.0,10.0,10.0,10.0,165,165,100.0,14.0,14.0,14.0
